"Control"	"Disease"	"repeat_n"
"ERR2017517"	0.398398398398398	0.601601601601602	1
"ERR2017576"	0.464464464464464	0.535535535535536	1
"ERR2017588"	0.586586586586587	0.413413413413413	1
"ERR2017412"	0.469469469469469	0.530530530530531	1
"ERR2017527"	0.484484484484485	0.515515515515516	1
"ERR2017561"	0.442442442442442	0.557557557557558	1
"ERR2017541"	0.463463463463463	0.536536536536537	1
"ERR2017499"	0.436436436436436	0.563563563563564	1
"ERR2017573"	0.504504504504504	0.495495495495495	1
"ERR2017508"	0.621621621621622	0.378378378378378	1
"ERR2017544"	0.704704704704705	0.295295295295295	1
"ERR3021313"	0.686686686686687	0.313313313313313	1
"ERR3021280"	0.640640640640641	0.359359359359359	1
"ERR3021274"	0.421421421421421	0.578578578578579	1
"ERR3021276"	0.227227227227227	0.772772772772773	1
"ERR3021312"	0.691691691691692	0.308308308308308	1
"ERR3021277"	0.192192192192192	0.807807807807808	1
"ERR3021294"	0.66966966966967	0.33033033033033	1
"ERR2843567"	0.26026026026026	0.73973973973974	1
"ERR2843664"	0.455455455455455	0.544544544544545	1
"ERR2843576"	0.515515515515516	0.484484484484485	1
"ERR2843688"	0.531531531531532	0.468468468468468	1
"ERR2843577"	0.633633633633634	0.366366366366366	1
"ERR2868398"	0.344344344344344	0.655655655655656	1
"ERR2868431"	0.528528528528528	0.471471471471471	1
"ERR2868519"	0.432432432432432	0.567567567567568	1
"ERR2608615"	0.35035035035035	0.64964964964965	1
"SRR13327514"	0.654654654654655	0.345345345345345	1
"WGC076308"	0.461461461461461	0.538538538538539	1
"WGC076503"	0.417417417417417	0.582582582582583	1
"WGC076508"	0.580580580580581	0.419419419419419	1
"WGC076299"	0.429429429429429	0.570570570570571	1
"WGC076286"	0.368368368368368	0.631631631631632	1
"WGC076289"	0.345345345345345	0.654654654654655	1
"WGC076501"	0.602602602602603	0.397397397397397	1
"SRR8675872"	0.774774774774775	0.225225225225225	1
"SRR8675912"	0.697697697697698	0.302302302302302	1
"SRR8675883"	0.66966966966967	0.33033033033033	1
"SRR8675919"	0.697697697697698	0.302302302302302	1
"SRR8675884"	0.666666666666667	0.333333333333333	1
"SRR8675900"	0.600600600600601	0.399399399399399	1
"SRR8845621"	0.485485485485485	0.514514514514514	1
"SRR8845341"	0.402402402402402	0.597597597597598	1
"SRR8845420"	0.411411411411411	0.588588588588589	1
"SRR8845368"	0.505505505505506	0.494494494494495	1
"SRR8845306"	0.331331331331331	0.668668668668669	1
"SRR8845675"	0.449449449449449	0.550550550550551	1
"SRR8845452"	0.509509509509509	0.49049049049049	1
"SRR8845484"	0.375375375375375	0.624624624624625	1
"SRR8845637"	0.525525525525526	0.474474474474474	1
"SRR8845431"	0.415415415415415	0.584584584584585	1
"SRR8845572"	0.288288288288288	0.711711711711712	1
"F287701"	0.543543543543544	0.456456456456456	1
"D988911"	0.374374374374374	0.625625625625626	1
"F639877"	0.546546546546547	0.453453453453453	1
"D975512"	0.371371371371371	0.628628628628629	1
"SRR6504878"	0.331331331331331	0.668668668668669	1
"SRR6504881"	0.443443443443443	0.556556556556557	1
"ERR1620374"	0.735735735735736	0.264264264264264	1
"ERR1620330"	0.593593593593594	0.406406406406406	1
"ERR1620331"	0.563563563563564	0.436436436436436	1
"ERR1620372"	0.479479479479479	0.520520520520521	1
"CKD_CON.011"	0.674674674674675	0.325325325325325	1
"CKD_CON.038"	0.297297297297297	0.702702702702703	1
"CKD_CON.067"	0.532532532532533	0.467467467467467	1
"CKD_CON.061"	0.177177177177177	0.822822822822823	1
"CKD_CON.024"	0.567567567567568	0.432432432432432	1
"CKD_CON.055"	0.717717717717718	0.282282282282282	1
"CKD_CON.052"	0.581581581581582	0.418418418418418	1
"SRR13077844"	0.458458458458458	0.541541541541542	1
"SRR13077857"	0.402402402402402	0.597597597597598	1
"Yu_83"	0.547547547547548	0.452452452452452	1
"Yu_89"	0.518518518518518	0.481481481481481	1
"Yu_52"	0.369369369369369	0.630630630630631	1
"SRR16124232"	0.447447447447447	0.552552552552553	1
"SRR16124171"	0.428428428428428	0.571571571571572	1
"SRR16124215"	0.540540540540541	0.459459459459459	1
"SRR16124277"	0.403403403403403	0.596596596596597	1
"SRR16124299"	0.2002002002002	0.7997997997998	1
"SRR16124236"	0.466466466466466	0.533533533533533	1
"SRR16124201"	0.447447447447447	0.552552552552553	1
"SRR16124178"	0.577577577577578	0.422422422422422	1
"SRR16124188"	0.576576576576577	0.423423423423423	1
"SRR11973588"	0.194194194194194	0.805805805805806	1
"SRR11977455"	0.349349349349349	0.650650650650651	1
"SRR11973585"	0.567567567567568	0.432432432432432	1
"SRR11973590"	0.485485485485485	0.514514514514514	1
"SRR11977454"	0.636636636636637	0.363363363363363	1
"C41"	0.645645645645646	0.354354354354354	1
"C101"	0.305305305305305	0.694694694694695	1
"C53"	0.575575575575576	0.424424424424424	1
"C100"	0.494494494494495	0.505505505505506	1
"C27"	0.262262262262262	0.737737737737738	1
"C80"	0.500500500500501	0.4994994994995	1
"C37"	0.376376376376376	0.623623623623624	1
"C91"	0.454454454454454	0.545545545545546	1
"C43"	0.595595595595596	0.404404404404404	1
"SRR5818480"	0.436436436436436	0.563563563563564	1
"ERR1398206"	0.444444444444444	0.555555555555556	1
"ERR1398242"	0.47047047047047	0.529529529529529	1
"ERR1398148"	0.33033033033033	0.66966966966967	1
"ERR1398126"	0.501501501501502	0.498498498498498	1
"ERR1398213"	0.47047047047047	0.529529529529529	1
"H41"	0.511511511511512	0.488488488488488	1
"H12"	0.647647647647648	0.352352352352352	1
"H58"	0.72972972972973	0.27027027027027	1
"H07"	0.748748748748749	0.251251251251251	1
"H15"	0.231231231231231	0.768768768768769	1
"H27"	0.562562562562563	0.437437437437437	1
"HK0048"	0.392392392392392	0.607607607607608	1
"HK0016"	0.421421421421421	0.578578578578579	1
"HK0041"	0.398398398398398	0.601601601601602	1
"HK0063"	0.415415415415415	0.584584584584585	1
"HK0097"	0.398398398398398	0.601601601601602	1
"HD.42"	0.594594594594595	0.405405405405405	1
"HV15"	0.305305305305305	0.694694694694695	1
"HD.32"	0.509509509509509	0.49049049049049	1
"HD.6"	0.324324324324324	0.675675675675676	1
"HD.62"	0.522522522522523	0.477477477477477	1
"HD.41"	0.671671671671672	0.328328328328328	1
"HD.23"	0.54954954954955	0.45045045045045	1
"SRR13336826"	0.316316316316316	0.683683683683684	1
"SRR13336892"	0.517517517517518	0.482482482482482	1
"SRR9098614"	0.444444444444444	0.555555555555556	1
"SRR9038061"	0.608608608608609	0.391391391391391	1
"SRR9098898"	0.645645645645646	0.354354354354354	1
"SRR9038042"	0.423423423423423	0.576576576576577	1
"SRR9037894"	0.495495495495495	0.504504504504504	1
"SRR9038136"	0.349349349349349	0.650650650650651	1
"SRR9037959"	0.541541541541542	0.458458458458458	1
"SRR9075325"	0.618618618618619	0.381381381381381	1
